transaction_id,customer_id,transaction_date,transaction_time,account_type,transaction_type,transaction_amount,transaction_direction,account_balance,merchant_category,state,credit_score,has_loan,loan_type,emi_amount,transaction_status,channel,kyc_status,is_fraud,transaction_hour,if_anomaly,if_score
TXN000000115,CUST050016,2019-01-01,04:11,Savings,Auto_Debit,6291.16,Debit,4126.13,Fuel,Tamil Nadu,616,1,Business,17411.25,Success,Mobile_App,Verified,0,4,-1,-0.013572127179510618
TXN000000180,CUST025343,2019-01-01,02:27,Current,NEFT,309869.01,Credit,68487.8,Education,Gujarat,803,0,Unknown,0.0,Success,POS_Terminal,Verified,0,2,-1,-0.02410790226095194
TXN000000291,CUST000302,2019-01-01,15:52,Savings,ATM_Withdrawal,500.0,Debit,1487.41,Retail,Maharashtra,714,0,Unknown,0.0,Success,Mobile_App,Verified,0,15,-1,-0.0029665689367978088
TXN000000742,CUST022575,2019-01-03,20:43,Fixed Deposit,Auto_Debit,1097.48,Debit,54403.58,Peer Transfer,Maharashtra,470,1,Home,1206.91,Pending,Mobile_App,Verified,0,20,-1,-0.015143495060027767
TXN000001108,CUST014597,2019-01-04,14:43,Fixed Deposit,RTGS,1071089.42,Debit,26378.25,E-Commerce,Maharashtra,330,0,Unknown,0.0,Success,API,Verified,0,14,-1,-0.042021133624645324
TXN000001294,CUST012985,2019-01-05,19:23,Salary,RTGS,1449803.75,Credit,15668.2,Education,Gujarat,776,0,Unknown,0.0,Success,Web,Verified,0,19,-1,-0.02228979349851723
TXN000001389,CUST019130,2019-01-05,22:03,Current,UPI,340.48,Debit,15203.02,Food & Dining,Rajasthan,403,1,Auto,34101.78,Success,Web,Verified,0,22,-1,-0.0041745715020349294
TXN000001391,CUST011304,2019-01-05,08:11,Fixed Deposit,NEFT,9240.57,Debit,36530.48,Peer Transfer,Tamil Nadu,655,1,Personal,44281.01,Success,Mobile_App,Verified,0,8,-1,-0.006221065857485719
TXN000001581,CUST068578,2019-01-06,22:07,Savings,IMPS,419.49,Credit,31207.49,Healthcare,Maharashtra,782,1,Education,5611.37,Success,Mobile_App,Verified,0,22,-1,-0.010853931149761409
TXN000001680,CUST070136,2019-01-06,01:09,Savings,UPI,517.22,Credit,59526.39,Salary,UP,406,0,Unknown,0.0,Success,Mobile_App,Pending,0,1,-1,-0.0652341940087604
TXN000002056,CUST077453,2019-01-07,02:29,Savings,RTGS,632989.72,Credit,172884.03,Retail,Karnataka,728,0,Unknown,0.0,Success,POS_Terminal,Verified,0,2,-1,-0.02244816821911788
TXN000002162,CUST051400,2019-01-08,01:51,Fixed Deposit,RTGS,690846.56,Credit,13987.19,Food & Dining,Karnataka,861,0,Unknown,0.0,Success,API,Verified,0,1,-1,-0.01482587121776524
TXN000002432,CUST000163,2019-01-09,16:12,Salary,RTGS,1573240.51,Credit,20234.36,Peer Transfer,Karnataka,786,0,Unknown,0.0,Failed,Mobile_App,Verified,0,16,-1,-0.07500773515639292
TXN000002541,CUST042952,2019-01-09,14:19,Savings,POS,6384.32,Debit,106255.04,Food & Dining,Delhi,799,1,Personal,13909.34,Success,POS_Terminal,Verified,0,14,-1,-0.01229812016097076
TXN000002559,CUST033244,2019-01-09,14:34,Current,RTGS,1551504.76,Debit,50198.46,Fuel,Delhi,343,1,Home,4088.36,Success,Branch,Verified,0,14,-1,-0.008654380428617547
TXN000002617,CUST049417,2019-01-09,04:59,NRI,Auto_Debit,4586.58,Debit,38501.14,Peer Transfer,UP,326,1,Business,9460.24,Success,Mobile_App,Verified,0,4,-1,-0.0008988429909499995
TXN000002751,CUST074814,2019-01-10,13:30,Current,Cheque,8703.92,Debit,615884.52,Food & Dining,Maharashtra,448,1,Auto,47360.7,Success,Web,Verified,0,13,-1,-0.004846764984080654
TXN000002755,CUST054307,2019-01-10,22:47,Salary,POS,316.15,Debit,16126.45,Investment,UP,441,1,Business,15188.88,Success,Mobile_App,Verified,0,22,-1,-0.004460310637623532
TXN000002780,CUST049679,2019-01-10,01:58,Salary,ATM_Withdrawal,500.0,Debit,55377.38,E-Commerce,West Bengal,866,1,Education,47631.91,Success,POS_Terminal,Verified,0,1,-1,-0.028763048613240194
TXN000002876,CUST003745,2019-01-10,07:47,Fixed Deposit,UPI,297.43,Debit,12205.31,E-Commerce,Maharashtra,470,1,Education,21489.01,Success,POS_Terminal,Verified,0,7,-1,-0.05210055833357419
TXN000002937,CUST052396,2019-01-10,14:40,Savings,RTGS,674943.94,Credit,96583.63,Insurance,Karnataka,519,0,Unknown,0.0,Success,POS_Terminal,Verified,1,14,-1,-0.008659254684180384
